Timestamp,What new word is Cory using?,What language?,"Date if different than ""now""?",Description
8/11/2019 11:39:44,To pet,Chinese,8/11/2019,Says when he sees a dog
8/11/2019 12:02:01,Scared,Sign,8/11/2019,Taps chest
8/12/2019 16:42:19,Draw,Chinese,8/12/2019,
8/12/2019 17:43:21,Yeah,English,8/12/2019,Cheering while clapping
8/13/2019 10:27:32,Run,Chinese,8/13/2019,
8/13/2019 10:27:42,Kick,Chinese,8/13/2019,
8/13/2019 16:58:04,Milk,Chinese,8/13/2019,
8/13/2019 16:58:16,Milk,English,8/13/2019,
8/14/2019 8:05:12,Jump,Chinese,8/14/2019,
8/14/2019 18:56:47,Cold,Sign,8/14/2019,Shakes arms as if shivering
8/15/2019 6:55:13,Open,Spanish,7/17/2019,Abre
8/15/2019 15:12:28,Elmo,English,8/15/2019,The muppet
8/15/2019 15:38:19,More,Chinese,8/15/2019,
8/15/2019 16:09:07,Tickle,Chinese,8/15/2019,
8/16/2019 18:33:36,Thank you,Chinese,8/16/2019,
8/16/2019 19:12:21,Press,Chinese,8/16/2019,Press a button
8/16/2019 22:41:57,Beep,English,8/16/2019,Car horn sound when pushing key fob
8/17/2019 9:39:53,Bubble,English,8/17/2019,
8/17/2019 18:05:21,Older sister,Chinese,8/17/2019,
8/18/2019 9:19:18,Tunnel,English,8/18/2019,Cory loves brio trains
8/18/2019 9:19:58,Choo choo,English,8/18/2019,Train sound
8/18/2019 15:34:06,Hello,English,8/18/2019,
8/19/2019 6:57:01,Car,English,8/19/2019,
8/19/2019 18:10:26,Car,Chinese,8/19/2019,
8/19/2019 20:20:14,Water,English,8/19/2019,Wa wa
8/20/2019 7:31:06,Noodle,Chinese,8/20/2019,
8/20/2019 17:49:23,Rooster,Animal Sound,8/20/2019,
8/20/2019 18:28:12,Ball,English,8/20/2019,
8/22/2019 13:05:43,Blue,English,8/22/2019,
8/22/2019 19:26:55,Bee,Animal Sound,8/22/2019,
8/22/2019 19:31:30,Maternal Grandmother,Chinese,8/22/2019,Pau pau
8/23/2019 17:32:37,Yellow,English,8/23/2019,
8/23/2019 17:32:47,Drop,Chinese,8/23/2019,
8/23/2019 17:44:20,Draw,Chinese,8/23/2019,Wah 
8/23/2019 18:31:54,Water,Spanish,8/23/2019,
8/23/2019 18:33:14,Don't have,Chinese,8/23/2019,
8/24/2019 14:28:10,Peel,Chinese,8/24/2019,
8/26/2019 17:32:24,Pasta,English,8/26/2019,
8/27/2019 7:02:03,Yellow,English,8/27/2019,Points at night light
8/27/2019 7:06:09,M&M,English,8/27/2019,Says something like num num while pointing at packaging
8/27/2019 18:17:20,Wow,English,8/27/2019,
8/28/2019 7:57:42,Bread,Chinese,8/28/2019,
8/28/2019 14:33:06,Mango,Chinese,8/28/2019,
8/28/2019 14:33:24,Banana,English,8/28/2019,Nana
8/30/2019 18:38:41,I,English,8/30/2019,As in: I baby!
8/31/2019 16:16:13,Cow,Spanish,8/31/2019,
8/31/2019 18:30:20,Bath,English,8/31/2019,
8/31/2019 19:04:55,Horse,Chinese,8/31/2019,
9/1/2019 6:31:29,Book,English,9/1/2019,
9/1/2019 13:03:14,Elmo,English,9/1/2019,The muppet
9/1/2019 13:05:19,Cow,Spanish,9/1/2019,
9/1/2019 16:10:00,Rock,English,9/1/2019,
9/1/2019 16:12:41,Have,Chinese,9/1/2019,
9/1/2019 16:12:56,Don't have,Chinese,9/1/2019,
9/1/2019 16:14:12,Pour,Chinese,9/1/2019,
9/2/2019 9:55:35,Stop,English,9/2/2019,
9/2/2019 10:19:21,Light,Spanish,9/2/2019,
9/3/2019 21:10:34,M&M,English,9/3/2019,Says num num like Theo
9/4/2019 7:09:50,You,English,9/4/2019,
9/4/2019 7:13:15,Owl,English,9/4/2019,
9/4/2019 7:13:27,Owl,Animal Sound,9/4/2019,
9/4/2019 11:00:54,Hold my hand,Chinese,9/4/2019,Lai
9/4/2019 15:32:12,Cold,Chinese,9/4/2019,
9/4/2019 15:47:42,Tickle,Chinese,9/4/2019,
9/4/2019 19:40:29,Cold,Chinese,9/4/2019,
9/5/2019 7:30:14,Mango,Chinese,9/5/2019,
9/5/2019 7:58:12,Full,Chinese,9/5/2019,Bow
9/5/2019 14:57:24,Cheese,English,9/5/2019,For photos
9/5/2019 15:46:01,Owl,Spanish,9/5/2019,Buho
9/5/2019 17:05:44,Leave,Chinese,9/5/2019,
9/5/2019 17:51:27,Whistle,Sign,9/5/2019,Blows through fingers to ask for toy whistle
9/5/2019 18:00:00,Tear apart,Chinese,9/5/2019,
9/5/2019 18:00:15,Milk,Chinese,9/5/2019,
9/5/2019 18:00:27,Water,Spanish,9/5/2019,
9/5/2019 18:17:53,2,English,9/5/2019,
9/5/2019 19:21:17,Pour,Chinese,9/5/2019,
9/6/2019 17:41:24,Hat,Chinese,9/6/2019,
9/7/2019 13:41:36,Leg,Chinese,9/7/2019,
9/7/2019 13:41:46,Mango,English,9/7/2019,
9/7/2019 13:41:59,Push,English,9/7/2019,
9/7/2019 13:42:38,Push,Chinese,9/2/2019,
9/7/2019 16:54:52,Turtle,English,9/7/2019,
9/7/2019 18:48:21,Pig,Chinese,9/7/2019,
9/7/2019 18:53:39,Peel,Chinese,9/7/2019,
9/8/2019 15:57:10,Shoe,Chinese,9/8/2019,
9/8/2019 15:57:19,Shoe,English,9/8/2019,
9/8/2019 16:23:37,Off,English,9/8/2019,
9/8/2019 18:48:14,Read,Chinese,9/8/2019,
9/10/2019 17:01:59,Feet,Chinese,9/10/2019,
9/10/2019 17:47:04,Book,English,9/10/2019,
9/10/2019 17:47:31,Read,Chinese,9/10/2019,
9/13/2019 7:50:07,Noodle,Chinese,9/13/2019,
9/13/2019 18:01:42,Broccoli,Chinese,9/13/2019,
9/14/2019 16:58:02,Rock,English,9/13/2019,
9/15/2019 15:10:51,Book,English,9/15/2019,
9/16/2019 21:08:41,Google,English,9/16/2019,
9/17/2019 19:19:22,Fall,English,9/17/2019,
9/18/2019 15:20:48,Cow,English,9/18/2019,
9/18/2019 16:47:03,Carry,Chinese,9/18/2019,
9/18/2019 19:01:34,Uncle,Chinese,9/18/2019,
9/18/2019 19:01:51,Good bye,English,9/18/2019,
9/18/2019 19:08:39,Cow,Animal Sound,9/18/2019,
9/19/2019 15:29:25,Bear,Spanish,9/19/2019,Oso
9/19/2019 15:33:41,Pigeon,Chinese,9/19/2019,
9/19/2019 18:12:19,Up,English,9/19/2019,
9/20/2019 12:27:29,Get down,Chinese,9/20/2019,Lot li
9/20/2019 18:27:04,Wolf,English,9/20/2019,
9/20/2019 18:32:04,Eyes,English,9/20/2019,
9/20/2019 18:32:13,Panda,English,9/20/2019,
9/20/2019 21:52:47,More,English,9/20/2019,
9/20/2019 21:54:05,Bear,Spanish,9/20/2019,
9/20/2019 21:54:14,Cow,Spanish,9/20/2019,
9/20/2019 22:14:17,Walk,English,9/20/2019,
9/20/2019 22:40:05,Yes,English,9/20/2019,
9/21/2019 7:54:29,Masha,English,9/21/2019,From Masha and the bear
9/21/2019 8:38:52,Go,English,9/21/2019,
9/21/2019 8:48:23,Move,English,9/21/2019,
9/21/2019 16:01:23,Tail,Chinese,9/21/2019,
9/21/2019 16:31:55,Shoe,Chinese,9/21/2019,
9/21/2019 16:32:59,Shoe,English,9/21/2019,
9/21/2019 17:27:45,All,English,9/21/2019,
9/21/2019 17:27:53,Done,English,9/21/2019,
9/21/2019 17:28:05,Spoon,English,9/21/2019,
9/21/2019 18:56:26,Rabbit,Chinese,9/21/2019,
9/22/2019 6:56:40,Google,English,9/22/2019,Pointing at Google home and requesting animal sounds
9/22/2019 10:55:08,Push,English,9/22/2019,
9/22/2019 11:24:43,Cat,English,9/22/2019,
9/22/2019 12:07:30,Poop,Chinese,9/22/2019,
9/22/2019 18:18:36,Duck,English,9/22/2019,
9/22/2019 19:17:08,Yes,English,9/22/2019,
9/22/2019 19:17:21,Wet,English,9/22/2019,
9/23/2019 14:25:04,Bite,Chinese,9/23/2019,
9/23/2019 15:02:47,Wolf,English,9/23/2019,
9/23/2019 18:12:41,Kick,Chinese,9/23/2019,
9/24/2019 8:19:23,Wolf,English,9/23/2019,
9/24/2019 11:23:12,High,Chinese,9/24/2019,
9/24/2019 11:44:37,Leave,Chinese,9/24/2019,
9/24/2019 16:36:23,Panther,Chinese,9/24/2019,
9/24/2019 17:36:29,Owl,English,9/24/2019,
9/24/2019 18:01:16,Move,English,9/24/2019,
9/24/2019 23:06:41,Hit,Chinese,9/24/2019,
9/25/2019 14:32:48,Owie,English,9/25/2019,
9/25/2019 15:10:31,Fall,English,9/25/2019,
9/25/2019 15:22:33,Rock,English,9/25/2019,
9/25/2019 15:26:01,Me,English,9/25/2019,
9/25/2019 15:50:45,Pour,Chinese,9/25/2019,
9/25/2019 17:57:28,Monkey,Spanish,9/25/2019,
9/25/2019 17:57:40,Monkey,Animal Sound,9/25/2019,
9/25/2019 18:28:09,Hi,English,9/25/2019,
9/25/2019 18:56:21,Snake,Chinese,9/25/2019,
9/25/2019 18:56:29,Lion,Chinese,9/25/2019,
9/26/2019 17:24:04,School,English,9/26/2019,
9/26/2019 18:26:37,Thank you,Chinese,9/26/2019,
9/26/2019 18:26:47,Nose,English,9/26/2019,
9/26/2019 18:26:57,Sit,Chinese,9/26/2019,
9/26/2019 18:27:07,Uncle,Chinese,9/26/2019,
9/26/2019 18:27:17,Throw,Chinese,9/26/2019,
9/26/2019 18:27:44,Tail,Chinese,9/26/2019,
9/26/2019 18:27:52,Eye,Chinese,9/26/2019,
9/26/2019 18:28:03,Kiss,Chinese,9/26/2019,
9/26/2019 18:33:10,Bubble,English,9/26/2019,
9/26/2019 19:02:14,All,English,9/26/2019,
9/26/2019 19:02:45,Done,English,9/26/2019,
9/27/2019 17:48:53,Pasta,English,9/27/2019,
9/27/2019 18:48:15,Poop,English,9/27/2019,
9/28/2019 10:21:21,Up,English,9/28/2019,
9/28/2019 11:18:25,Lola,Spanish,9/28/2019,The cow's name
9/28/2019 11:27:22,Stick,English,9/28/2019,
9/28/2019 12:44:19,Wolf,English,9/28/2019,
9/28/2019 12:44:35,Fall,English,9/28/2019,
9/28/2019 16:34:07,Cow,English,9/28/2019,
9/28/2019 16:55:14,Go away,Chinese,9/28/2019,
9/28/2019 17:27:31,Tunnel,English,9/28/2019,
9/28/2019 18:21:04,Noodle,Chinese,9/28/2019,
9/28/2019 18:25:51,2,Spanish,9/28/2019,
9/28/2019 19:21:04,Duck,English,9/28/2019,
9/29/2019 10:02:42,Kick,Chinese,9/29/2019,
9/29/2019 10:51:33,Move,English,9/29/2019,
10/1/2019 6:45:53,Moose,English,10/1/2019,
10/1/2019 6:46:29,Fall,English,10/1/2019,
10/1/2019 18:11:26,Feet,English,10/1/2019,
10/1/2019 19:25:57,Walk,Chinese,10/1/2019,
10/1/2019 19:26:06,Run,Chinese,10/1/2019,
10/1/2019 19:26:18,Book,Chinese,10/1/2019,
10/1/2019 19:26:27,Read,Chinese,10/1/2019,
10/1/2019 19:26:54,Dog,Chinese,10/1/2019,
10/1/2019 19:34:01,Elmo,English,10/1/2019,
10/2/2019 9:07:25,Sock,Chinese,10/2/2019,
10/2/2019 16:17:30,Chips,English,10/2/2019,
10/2/2019 19:23:53,Monkey,Spanish,10/2/2019,
10/3/2019 10:10:31,Down,English,10/3/2019,
10/3/2019 10:13:58,Me,English,10/3/2019,
10/3/2019 10:36:17,Hat,English,10/3/2019,
10/3/2019 10:46:36,Pet,English,10/3/2019,The verb
10/3/2019 10:46:44,Boat,English,10/3/2019,
10/3/2019 10:51:24,Eat,English,10/3/2019,
10/3/2019 15:26:49,Elephant,Chinese,10/3/2019,
10/3/2019 15:26:56,Duck,Chinese,10/3/2019,
10/3/2019 15:27:04,Tiger,Chinese,10/3/2019,
10/3/2019 15:27:11,Dog,Chinese,10/3/2019,
10/3/2019 17:19:15,Dropped,Chinese,10/3/2019,
10/5/2019 12:13:08,Dinosaur,Chinese,10/5/2019,
10/6/2019 10:07:28,Push,English,10/6/2019,
10/6/2019 18:38:19,Crow,Chinese,10/5/2019,
10/6/2019 18:38:29,Follow me,Chinese,10/5/2019,
10/6/2019 18:38:42,Hold my hand,Chinese,10/5/2019,
10/6/2019 18:38:59,A lot,Chinese,10/5/2019,
10/6/2019 18:39:12,Sit,Chinese,10/5/2019,
10/7/2019 16:14:32,Spider web,Chinese,10/7/2019,
10/7/2019 16:14:47,Lion King,Chinese,10/7/2019,
10/8/2019 19:35:35,Bee,English,10/8/2019,
10/9/2019 10:00:01,Help me,Chinese,10/9/2019,
10/9/2019 10:00:08,2,Chinese,10/9/2019,
10/9/2019 10:00:16,2,English,10/9/2019,
10/9/2019 10:39:15,Green,Chinese,10/9/2019,
10/10/2019 17:51:15,Pig bun,Chinese,10/10/2019,
10/10/2019 17:51:22,Pig,Chinese,10/10/2019,
10/10/2019 18:10:40,Hug,Chinese,10/10/2019,
10/10/2019 19:23:10,Thank you,Chinese,10/10/2019,
10/10/2019 22:47:30,Draw,Chinese,10/10/2019,
10/10/2019 22:47:39,Full,Chinese,10/10/2019,
10/11/2019 8:11:32,Mom,English,10/11/2019,
10/11/2019 17:50:48,Bee,English,10/11/2019,
10/11/2019 18:21:53,Bath,Chinese,10/11/2019,
10/11/2019 18:22:31,Get down,Chinese,10/11/2019,Lok lie
10/12/2019 8:41:12,2,Spanish,10/12/2019,
10/12/2019 8:42:04,cat,Spanish,10/12/2019,
10/12/2019 16:04:59,panda,English,10/12/2019,
10/12/2019 16:24:01,giraffe,English,10/12/2019,rafe
10/12/2019 16:48:00,giraffe,Chinese,10/12/2019,
10/12/2019 16:48:52,elephant,Chinese,10/12/2019,
10/12/2019 17:30:47,lion,Chinese,10/12/2019,
10/12/2019 17:31:00,king,Chinese,10/12/2019,
10/13/2019 5:53:54,3,English,10/13/2019,
10/13/2019 6:01:51,hello,Spanish,10/13/2019,Hola
10/13/2019 6:03:20,moon,Spanish,10/13/2019,Luna
10/13/2019 6:14:28,Cha cha,English,10/13/2019,Dambce from Gerald the Giraffe
10/13/2019 8:46:23,duck,English,10/13/2019,
10/13/2019 17:26:30,eat,English,10/13/2019,
10/13/2019 17:50:47,apple,English,10/13/2019,
10/13/2019 17:56:50,horse,English,10/13/2019,
10/13/2019 20:52:36,1,Chinese,10/13/2019,
10/13/2019 20:52:59,3,Chinese,10/13/2019,
10/14/2019 6:14:32,George,English,10/13/2019,The cat
10/14/2019 6:33:09,3,English,10/14/2019,
10/14/2019 6:33:24,4,English,10/14/2019,
10/14/2019 6:48:41,cat,Spanish,10/14/2019,
10/15/2019 18:57:30,cory,Chinese,10/15/2019,
10/16/2019 7:11:19,good morning,Chinese,10/16/2019,
10/16/2019 7:11:33,water,Chinese,10/15/2019,
10/16/2019 7:11:59,water,English,10/15/2019,
10/17/2019 7:06:22,Dad,English,10/17/2019,
10/17/2019 7:06:47,apple,English,10/17/2019,
10/17/2019 18:16:36,masha,English,10/17/2019,From Masha and the bear
10/18/2019 15:16:18,stop,English,10/18/2019,
10/18/2019 17:55:55,apple,English,10/18/2019,
10/18/2019 19:09:59,6,Chinese,10/18/2019,
10/20/2019 8:53:20,YouTube,Chinese,10/20/2019,"Mat may moo, just like his older brother"
10/21/2019 13:37:45,king,Chinese,10/21/2019,
10/24/2019 15:47:43,a lot,Chinese,10/24/2019,
10/24/2019 15:48:00,little brother,Chinese,10/24/2019,
10/24/2019 16:04:11,bus,English,10/24/2019,
10/24/2019 16:56:15,star,English,10/24/2019,
10/24/2019 17:06:03,bed,Chinese,10/24/2019,
10/24/2019 17:06:24,Ash,English,10/24/2019,Little brothers nickname
10/24/2019 17:12:39,horse,English,10/24/2019,
10/24/2019 17:14:49,cow,English,10/24/2019,
10/24/2019 17:20:35,farm,English,10/24/2019,
10/24/2019 17:28:30,open,Spanish,10/24/2019,Abre
10/24/2019 17:42:45,hot,Chinese,10/24/2019,
10/24/2019 17:43:05,milk,Chinese,10/24/2019,
10/24/2019 17:43:21,yes,Chinese,10/24/2019,
10/24/2019 18:24:58,scared,Chinese,10/24/2019,
