timestamp,base_salary,annual_bonus,relocation_and_signing,equity_or_stock_per_year,total_comp,total_recurring_comp,job_title,seniority,years_exp,degree,approx_location,coarse_region,fine_region,gender,ethnicity,age_range,age
07/18/18 07:42 AM,118000,17700,10000,NULL,145700,135700,Data Scientist,Middle,1,Doctorate,New York City Suburbs,East Coast,New York,Male,Asian,30-39,34
07/18/18 07:55 AM,133000,26000,10000,NULL,169000,159000,Data Scientist,Senior,2,Doctorate,New York ,East Coast,New York,Male,NULL,30-39,37
07/18/18 10:32 AM,100000,NULL,5000,NULL,105000,100000,Data Scientist,Senior,1,Doctorate,"Washington, DC",East Coast,Washington DC,Male,White,20-29,29
07/18/18 12:26 PM,126000,NULL,NULL,NULL,126000,126000,Data Engineer,Middle,2,Master's Degree,NYC,East Coast,New York,Male,Hispanic,20-29,28
07/20/18 08:57 AM,118000,7000,6000,NULL,131000,125000,Data Scientist,Junior/entry level,2,Doctorate,Minnesota,Midwest,Minneapolis,Transgender,White,30-39,32
07/21/18 10:03 PM,125000,NULL,12000,NULL,137000,125000,Data Scientist,Junior/entry level,0,Doctorate,San Jose,West Coast,Bay Area,Male,Hispanic,20-29,29
08/04/18 05:00 PM,110000,12000,20000,2250,144250,124250,Data Scientist,Senior,3,Doctorate,Toronto,International,Canada,Male,Asian,30-39,30
08/09/18 06:39 PM,140000,NULL,NULL,NULL,140000,140000,Analyst,Senior,2,Doctorate,"Palo Alto, CA",West Coast,Bay Area,Female,NULL,30-39,32
08/10/18 02:10 PM,180000,32000,10000,66000,288000,278000,Data Scientist,Senior,3,Doctorate,Mountain View,West Coast,Bay Area,Male,White,30-39,32
08/15/18 01:28 PM,260000,NULL,NULL,NULL,260000,260000,Data Scientist,Junior/entry level,1,Doctorate,NYC,East Coast,New York,Male,White,20-29,29
08/17/18 01:21 AM,160000,NULL,NULL,20000,180000,180000,Data Scientist,Middle,1,Doctorate,San Francisco,West Coast,San Francisco,Female,Indian,30-39,37
08/21/18 08:03 PM,145000,21750,25000,50000,241750,216750,Data Scientist,Middle,2,Doctorate,Redwood City,West Coast,Bay Area,Male,White,30-39,32
08/21/18 08:03 PM,140000,NULL,NULL,NULL,140000,140000,Data Scientist,Senior,3,Doctorate,SF,West Coast,Bay Area,Male,NULL,30-39,32
09/27/18 04:17 PM,190000,NULL,NULL,45000,235000,235000,Data Scientist,Senior,1,Master's Degree,San Francisco,West Coast,Bay Area,Male,NULL,30-39,33
09/27/18 07:20 PM,185000,27750,50000,70000,332750,282750,Data Scientist,Senior,3,Doctorate,San Francisco,West Coast,Bay Area,Male,White,30-39,30
09/28/18 06:00 AM,135000,NULL,NULL,NULL,135000,135000,Data Scientist,Senior,1,Doctorate,Southeastern USA,Southeast,Southeast,Male,White,30-39,39
09/28/18 07:29 AM,105000,1,1,1,105003,105002,Analyst,Senior,5,Doctorate,Colorado,Midwest,Midwest,Male,White,30-39,37
09/28/18 08:37 AM,125000,NULL,10000,NULL,135000,125000,Data Scientist,Middle,0,Doctorate,Memphis,South,South,Male,White,30-39,38
09/28/18 10:30 AM,135000,6750,20000,10000,171750,151750,Data Scientist,Middle,3,Doctorate,Seattle,Northwest,Seattle,Male,Asian,40,43
09/28/18 10:56 AM,140000,NULL,5000,NULL,145000,140000,Data Scientist,Middle,1,Doctorate,New York,East Coast,New York,Male,White,30-39,30
09/28/18 02:26 PM,130000,NULL,10000,NULL,140000,130000,Data Scientist,Junior/entry level,1,Doctorate,San Francisco,West Coast,Bay Area,Male,White,20-29,29
09/28/18 02:41 PM,115000,NULL,NULL,NULL,115000,115000,Data Engineer,Junior/entry level,1,Bachelor's Degree,San Francisco,West Coast,Bay Area,Male,White,30-39,34
09/28/18 04:16 PM,130000,NULL,NULL,NULL,130000,130000,Data Scientist,Junior/entry level,0,Doctorate,Seattle,Northwest,Seattle,Male,White,20-29,28
10/08/18 10:23 AM,150000,15000,NULL,NULL,165000,165000,Data Scientist,Middle,2,Doctorate,New York City,East Coast,New York,Female,White,30-39,30
10/22/18 02:35 PM,145000,NULL,NULL,1000,146000,146000,Data Scientist,Senior,3,Doctorate,Bay Area,West Coast,Bay Area,Male,White,30-39,30
10/26/18 11:45 AM,118000,17700,10000,NULL,145700,135700,Data Scientist,Junior/entry level,0,Doctorate,New York Area,East Coast,New York,Male,Asian,30-39,34
10/26/18 12:02 PM,141750,NULL,NULL,NULL,141750,141750,Data Scientist,Senior,4,Doctorate,New York,East Coast,New York,Female,White,30-39,37
10/26/18 12:21 PM,110500,11000,NULL,NULL,121500,121500,Data Scientist,Junior/entry level,1,Doctorate,Boston,Northeast,Boston,Male,White,30-39,33
10/26/18 12:46 PM,105000,20000,NULL,NULL,125000,125000,Data Engineer,Middle,3,Master's Degree,San Francisco,West Coast,Bay Area,Male,Asian,30-39,35
10/26/18 02:55 PM,140000,NULL,NULL,25000,165000,165000,Data Engineer,Middle,3,Bachelor's Degree,New York,East Coast,New York,Female,Asian,20-29,24
10/26/18 04:11 PM,135000,NULL,5000,NULL,140000,135000,Data Engineer,Junior/entry level,1,Master's Degree,Nyc,East Coast,New York,Male,Asian,30-39,32
10/26/18 04:30 PM,155000,NULL,15000,NULL,170000,155000,Data Scientist,Middle,4,Doctorate,NYC,East Coast,New York,Male,White,40,44
10/26/18 10:51 PM,120000,NULL,10000,10000,140000,130000,Data Engineer,Junior/entry level,3,Master's Degree,LA,West Coast,Southern California,Female,White,20-29,28
10/27/18 06:45 AM,138000,NULL,3000,1250,142250,139250,Data Scientist,Junior/entry level,1,Doctorate,NYC,East Coast,New York,Male,NULL,30-39,30
10/27/18 07:31 AM,110000,NULL,NULL,NULL,110000,110000,Data Scientist,Junior/entry level,0,Doctorate,Colorado,Midwest,Midwest,NULL,NULL,NULL,NULL
10/27/18 02:41 PM,150000,20000,NULL,NULL,170000,170000,Data Scientist,Junior/entry level,1,Doctorate,silicon valley,West Coast,Bay Area,Male,Hispanic,30-39,37
10/27/18 06:19 PM,121000,6050,15000,NULL,142050,127050,Data Scientist,Junior/entry level,1,Doctorate,DC,East Coast,Washington DC,Male,NULL,NULL,NULL
10/29/18 07:53 AM,125000,12000,,NULL,137000,137000,Data Scientist,Middle,1,Doctorate,Boston,Northeast,Boston,Male,NULL,NULL,NULL
10/29/18 10:50 AM,148000,0,0,NULL,148000,148000,Data Scientist,Middle,4,Doctorate,New York,East Coast,New York,Male,White,30-39,32
10/29/18 01:17 PM,150000,37500,NULL,NULL,187500,187500,Data Scientist,Middle,5,Doctorate,NYC,East Coast,New York,Female,White,30-39,37
10/30/18 10:49 AM,190000,NULL,NULL,45000,235000,235000,Data Scientist,Middle,2,Master's Degree,San Francisco,West Coast,San Francisco,Male,NULL,30-39,33
11/05/18 05:30 AM,154000,NULL,24000,NULL,178000,154000,Data Engineer,Senior,5,Bachelor's Degree,Seoul,International,International,Male,White,40,41
